Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession	TODO
Environment	Slon2017	10.1126/science.aam9695	SP3675	ERS1600994	ERR1883687	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3676	ERS1600995	ERR1883688	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3677	ERS1600996	ERR1883689	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600934	ERR1883627	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3846	ERS1600935	ERR1883628	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3847	ERS1600936	ERR1883629	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1600937	ERR1883630	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3849	ERS1600938	ERR1883631	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3850	ERS1600939	ERR1883632	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3851	ERS1600940	ERR1883633	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3852	ERS1600964	ERR1883657	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3853	ERS1600963	ERR1883656	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1600962	ERR1883655	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3855	ERS1600961	ERR1883654	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3856	ERS1600959	ERR1883652	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3857	ERS1600957	ERR1883650	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600997	ERR1883690	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3908	ERS1600999	ERR1883692	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3909	ERS1600998	ERR1883691	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601000	ERR1883693	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3911	ERS1601001	ERR1883694	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601003	ERR1883696	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600883	ERR1883576	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3675	ERS1600884	ERR1883577	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3676	ERS1600885	ERR1883578	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3677	ERS1600886	ERR1883579	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600824	ERR1883517	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3846	ERS1600825	ERR1883518	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3847	ERS1600826	ERR1883519	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1600827	ERR1883520	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3849	ERS1600828	ERR1883521	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3850	ERS1600829	ERR1883522	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3851	ERS1600830	ERR1883523	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1600893	ERR1883586	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3852	ERS1600854	ERR1883547	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3853	ERS1600853	ERR1883546	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1600852	ERR1883545	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3855	ERS1600851	ERR1883544	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3856	ERS1600849	ERR1883542	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3857	ERS1600847	ERR1883540	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600887	ERR1883580	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3908	ERS1600889	ERR1883582	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3909	ERS1600888	ERR1883581	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1600890	ERR1883583	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3911	ERS1600891	ERR1883584	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3823	ERS1600969	ERR1883662	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3824	ERS1600970	ERR1883663	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3825	ERS1600971	ERR1883664	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3826	ERS1600972	ERR1883665	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3827	ERS1600973	ERR1883666	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3828	ERS1600974	ERR1883667	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3829	ERS1600975	ERR1883668	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3830	ERS1600976	ERR1883669	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3831	ERS1600977	ERR1883670	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3801	ERS1600921	ERR1883614	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3802	ERS1600922	ERR1883615	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3804	ERS1600923	ERR1883616	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3805	ERS1600924	ERR1883617	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3806	ERS1600925	ERR1883618	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3807	ERS1600926	ERR1883619	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3808	ERS1600927	ERR1883620	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3809	ERS1600928	ERR1883621	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3810	ERS1600929	ERR1883622	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3811	ERS1600930	ERR1883623	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3812	ERS1600931	ERR1883624	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3858	ERS1600956	ERR1883649	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3859	ERS1600955	ERR1883648	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3860	ERS1600953	ERR1883646	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3861	ERS1600949	ERR1883642	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3862	ERS1600947	ERR1883640	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3863	ERS1600944	ERR1883637	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3864	ERS1600942	ERR1883635	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3865	ERS1600965	ERR1883658	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3866	ERS1600966	ERR1883659	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3867	ERS1600967	ERR1883660	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3868	ERS1600968	ERR1883661	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3869	ERS1600958	ERR1883651	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3870	ERS1600941	ERR1883634	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3823	ERS1600859	ERR1883552	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3824	ERS1600860	ERR1883553	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3825	ERS1600861	ERR1883554	Remove:CAPTUREDATA
