Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF74	Unknown	Unknown
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF20	Unknown	Unknown
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC7	Unknown	Unknown
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC16	Unknown	Unknown
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC12	Unknown	Unknown
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC4	Unknown	Unknown
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC1	Unknown	Unknown
HostAssociatedSingle	Worobey2016	10.1038/nature19827	Patient 0	Unknown	Unknown
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA251	DA251	DA251-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA336	DA336	DA336-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA337	DA337	DA337-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA55	DA55	DA55-combined-unique
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA66	DA66	DA66-combined-unique
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	NEO105	NEO105	NEO105-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	RISE569	RISE569	RISE569-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK143	VK143	VK143-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK154	VK154	VK154-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK477	VK477	VK477-combined
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK6	VK6	VK6-combined
HostAssociatedSingle	Rascovan2019	10.1016/j.cell.2018.11.005	Gok4	ERS434181	ERR476800
HostAssociatedSingle	Rascovan2019	10.1016/j.cell.2018.11.005	Gok4	ERS434181	ERR476801
HostAssociatedSingle	deDios2021	10.1016/j.isci.2021.103021	F1364-1436	ERS6464928	ERR5947503
